item,description,scheduled_value,previous_completed,this_period,stored_materials,total_completed,percent_complete,balance_to_finish,retainage
01,General conditions,240000.00,20000.00,20000.00,0.00,40000.00,16.67,200000.00,4000.00
02,Sitework and utilities,275000.00,165000.00,82500.00,0.00,247500.00,90.00,27500.00,24750.00
03,Concrete foundations and slab on grade,340000.00,102000.00,136000.00,0.00,238000.00,70.00,102000.00,23800.00
04,Masonry,215000.00,0.00,43000.00,0.00,43000.00,20.00,172000.00,4300.00
05,Structural and miscellaneous steel,310000.00,0.00,93000.00,62000.00,155000.00,50.00,155000.00,15500.00
06,Roofing and sheet metal,180000.00,0.00,0.00,0.00,0.00,0.00,180000.00,0.00
07,"Doors, frames, and hardware",52000.00,0.00,0.00,0.00,0.00,0.00,52000.00,0.00
08,Overhead doors,60000.00,0.00,0.00,15000.00,15000.00,25.00,45000.00,1500.00
09,Finishes,265000.00,0.00,0.00,0.00,0.00,0.00,265000.00,0.00
10,Plumbing,285000.00,28500.00,28500.00,0.00,57000.00,20.00,228000.00,5700.00
11,HVAC,395000.00,0.00,39500.00,0.00,39500.00,10.00,355500.00,3950.00
12,Fire protection,118000.00,0.00,11800.00,0.00,11800.00,10.00,106200.00,1180.00
13,Electrical,445000.00,22250.00,44500.00,0.00,66750.00,15.00,378250.00,6675.00
14,CO-001 Storefront revisions,24750.00,0.00,0.00,0.00,0.00,0.00,24750.00,0.00
