item,description,scheduled_value,previous_completed,this_period,stored_materials,total_completed,percent_complete,balance_to_finish,retainage
01,General conditions,185000.00,0.00,18500.00,0.00,18500.00,10.00,166500.00,1850.00
02,Sitework and earthwork,210000.00,0.00,147000.00,0.00,147000.00,70.00,63000.00,14700.00
03,Concrete foundations and slab,265000.00,0.00,79500.00,0.00,79500.00,30.00,185500.00,7950.00
04,Masonry,180000.00,0.00,0.00,0.00,0.00,0.00,180000.00,0.00
05,Structural and miscellaneous steel,240000.00,0.00,0.00,72000.00,72000.00,30.00,168000.00,7200.00
06,Roofing and sheet metal,145000.00,0.00,0.00,0.00,0.00,0.00,145000.00,0.00
07,"Doors, frames, and hardware",45000.00,0.00,0.00,0.00,0.00,0.00,45000.00,0.00
08,Overhead doors,60000.00,0.00,0.00,0.00,0.00,0.00,60000.00,0.00
09,Finishes,190000.00,0.00,0.00,0.00,0.00,0.00,190000.00,0.00
10,Plumbing,220000.00,0.00,22000.00,0.00,22000.00,10.00,198000.00,2200.00
11,HVAC,310000.00,0.00,0.00,0.00,0.00,0.00,310000.00,0.00
12,Electrical,400000.00,0.00,20000.00,0.00,20000.00,5.00,380000.00,2000.00
